LoggroID,Ingrediente,Categoria,Unidad,StockLoggro,EnAtolon
"690a7562209ea4cbd2ed6f2f","quality blend","Producción BAR","Und",0,"quality blend"
"6657a67e9ebba941051d12ee","QUESO PERSONAL","COMEDOR STAFF","Und",0,""
"69f22b8508eaba489fb443c6","QUITA MANCHAS OXIGENO ACTIVADO 5KG","Otros","Kg",0,"QUITA MANCHAS OXIGENO ACTIVADO 5KG"
"66a8312abe36208c3050cff7","RAGU","PRODUCCION COCINA","Und",0,""
"68753aa419a9cdba45d00812","Rama de mente","Producción BAR","Und",0,"Rama de mente"
"69f22b60e794136c22040668","rayd","Otros","Und",0,"rayd"
"664b58037daba87a337783c1","reducción de balsámico","PRODUCCION COCINA","Gr",0,""
"69fcd46c3467768d807ff17c","reductor de ph","Otros","?",0,"reductor de ph"
"69f22c0eccf37930cf825c08","REPELENTE PARA MOSQUITOS","Otros","Und",0,"REPELENTE PARA MOSQUITOS"
"66dc851dd9718a2d775f179f","robalo en posta","Insumos cocina","Gr",0,"robalo en posta"
"68755ac9284ec44c044238f4","Rodaja de chile","Producción BAR","Und",0,"Rodaja de chile"
"69f22af2b0243ba116bfa1dc","rollo de bolsas medianas","Otros","Und",0,"rollo de bolsas medianas"
"69f22a96833c39f610bfa9f9","rollos de bolsas tamaño jumbo","Otros","Und",0,"rollos de bolsas tamaño jumbo"
"685da498b2279b1025d7ff66","Romero","Producción BAR","Kg",0,"Romero"
"6a08f4f66a419106f2081f98","RON VIEJO DE CALDAS CARTA DE ORO - 750ml","RON","Und",0,"RON VIEJO DE CALDAS CARTA DE ORO - 750ml"
"6733a3db71253e2c85cc4465","sal gruesa","Insumos cocina","Gr",0,"sal gruesa"
"666374cb70563dfc968cf991","salchicha ahumada parisienne","Insumos cocina","Und",0,"salchicha ahumada parisienne"
"665632f6b1e2de91fed62d39","salchicha zenu long","Insumos cocina","Gr",0,"salchicha zenu long"
"6658ada1b69bb60c76eb2340","salchichon porciion","COMEDOR STAFF","Und",0,""
"67dadbaa61059ced8aa45924","SALSA - CHILE HABANERO","COMPLEMENTOS Y ADICIONALES","Gr",0,""
